"n","robustness","d_driver"
1,"ordinary",0
2,"ordinary",0
3,"ordinary",0
4,"critical",1
5,"critical",1
6,"redundant",-1
7,"ordinary",0
8,"ordinary",0
9,"ordinary",0
10,"ordinary",0
11,"ordinary",0
12,"redundant",-1
13,"redundant",-1
14,"ordinary",0
15,"ordinary",0
16,"ordinary",0
17,"ordinary",0
18,"redundant",-1
19,"redundant",-1
20,"redundant",-1
21,"redundant",-1
22,"redundant",-1
23,"redundant",-1
24,"ordinary",0
25,"redundant",-1
26,"ordinary",0
27,"redundant",-1
28,"ordinary",0
29,"redundant",-1
30,"redundant",-1
31,"redundant",-1
32,"redundant",-1
33,"redundant",-1
34,"redundant",-1
35,"ordinary",0
36,"redundant",-1
37,"redundant",-1
38,"redundant",-1
