"n","robustness","d_driver"
1,"critical",1
2,"critical",1
3,"critical",1
4,"critical",1
5,"critical",1
6,"critical",1
7,"critical",1
8,"critical",1
9,"critical",1
10,"critical",1
11,"redundant",-1
12,"redundant",-1
13,"redundant",-1
14,"redundant",-1
15,"redundant",-1
16,"redundant",-1
17,"critical",1
18,"redundant",-1
19,"critical",1
20,"redundant",-1
21,"redundant",-1
22,"redundant",-1
23,"redundant",-1
24,"redundant",-1
25,"redundant",-1
26,"redundant",-1
27,"redundant",-1
28,"redundant",-1
29,"redundant",-1
30,"redundant",-1
31,"critical",1
32,"critical",1
33,"redundant",-1
34,"redundant",-1
35,"redundant",-1
