"n","robustness","d_driver"
1,"critical",1
2,"ordinary",0
3,"ordinary",0
4,"ordinary",0
5,"critical",1
6,"ordinary",0
7,"ordinary",0
8,"ordinary",0
9,"ordinary",0
10,"critical",1
11,"ordinary",0
12,"ordinary",0
13,"redundant",-1
14,"ordinary",0
15,"redundant",-1
16,"redundant",-1
17,"ordinary",0
18,"redundant",-1
19,"ordinary",0
20,"ordinary",0
21,"ordinary",0
22,"redundant",-1
23,"redundant",-1
24,"redundant",-1
25,"redundant",-1
26,"redundant",-1
27,"redundant",-1
28,"redundant",-1
29,"redundant",-1
30,"redundant",-1
31,"ordinary",0
32,"ordinary",0
33,"redundant",-1
34,"redundant",-1
35,"redundant",-1
